,RegionID,RegionName,SizeRank,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,9,California,1,485900,488400,489900,493200,492200,493000,491900,491600,493800,498400,505600,513500
1,54,Texas,2,217800,219100,220500,223300,224700,226100,226700,228100,229400,232700,234700,236800
2,43,New York,3,290200,289700,285700,287900,287500,297000,298100,301700,295100,296000,297100,305400
3,14,Florida,4,224600,225800,225300,224400,223800,224600,226100,227000,228900,230800,234400,238100
4,21,Illinois,5,184200,188500,195700,199000,198700,195900,192000,189500,188100,190000,191300,194600
5,47,Pennsylvania,6,163400,165500,167600,169100,168200,168600,168700,168500,168800,169600,172100,173300
6,44,Ohio,7,137200,139600,141300,141200,141100,140300,141300,140600,140600,140900,142300,145200
7,30,Michigan,8,146900,152100,155200,156200,153300,151200,151600,152700,153700,154300,155200,157700
8,16,Georgia,9,188900,190500,191900,192700,194200,195600,197600,197800,199800,199600,202700,204900
9,36,North Carolina,10,193700,196100,198400,199800,199600,199700,201100,202100,205200,206200,209900,212700
10,40,New Jersey,11,276600,280200,282700,285500,287100,287000,287900,288600,290700,293900,303300,311600
11,56,Virginia,12,262900,265300,267900,267200,268300,268100,268200,268900,272600,274700,275600,276200
12,59,Washington,13,357500,364800,370200,371800,370900,369000,367800,369600,371700,374700,377400,384600
13,26,Massachusetts,14,369400,377400,387600,389300,384000,382300,384200,383700,384100,386500,386500,390700
14,22,Indiana,15,148600,150400,153300,153200,153100,153400,154500,156000,156700,159200,160500,161300
15,8,Arizona,16,235500,236500,239300,238600,240300,241200,244100,244800,247200,249500,252500,255100
16,53,Tennessee,17,180400,182400,182300,183100,183400,187500,188700,190700,190800,193200,195600,199600
17,32,Missouri,18,161900,166700,168800,166800,163900,163800,163500,163300,163400,165800,166700,168300
18,27,Maryland,19,263100,262700,263800,266100,271400,273500,273900,271900,270600,272100,276000,279600
19,60,Wisconsin,20,175100,177600,179800,183200,183200,182400,181100,180500,180300,182500,183000,187100
20,31,Minnesota,21,229000,231500,236300,237100,237800,235600,236700,236800,238400,240600,243100,245800
21,10,Colorado,22,358200,360600,361000,363700,366100,366500,366700,366900,370600,373200,376200,378500
22,4,Alabama,23,151000,153800,155800,156400,155800,155200,153500,154500,156500,160100,163900,167400
23,51,South Carolina,24,179600,180700,181400,183700,184800,185400,186300,187500,188000,186800,187100,190400
24,25,Louisiana,25,170700,167500,168400,168200,171300,174900,177300,177100,175700,175600,178000,179600
25,24,Kentucky,26,154400,155600,156500,156500,156300,156600,158500,159300,160500,162100,163500,165200
26,46,Oregon,27,328500,333200,335700,335400,334700,336000,337200,337300,337300,341300,346000,350900
27,45,Oklahoma,28,140900,144300,146700,148300,147000,147000,146900,147000,147700,149400,151400,152600
28,11,Connecticut,29,235500,234200,239000,241400,245900,241100,239000,237300,238400,240700,243400,251000
29,19,Iowa,30,147100,148600,150200,151600,151400,152300,151300,153100,154400,155500,155600,156600
30,34,Mississippi,31,159400,160100,160700,162100,162800,163300,162800,163100,163000,163400,163900,168200
31,6,Arkansas,32,142300,143000,142800,141300,142100,143800,146800,147300,149800,151100,154200,154300
32,23,Kansas,33,183100,183500,183500,181400,184300,189100,191900,191500,188600,188600,191000,193100
33,55,Utah,34,297500,300300,302100,302400,303700,306100,306600,309800,313100,316800,318500,322000
34,42,Nevada,35,280100,281500,282700,280900,281900,281500,282500,282400,285400,288700,291500,294100
35,41,New Mexico,36,196600,197100,197200,200700,204200,209900,210500,210500,207400,210000,210500,213600
36,61,West Virginia,37,136500,134500,136000,138900,141600,142500,142300,142800,143700,143500,143500,142200
37,38,Nebraska,38,175400,177100,179800,180100,180600,178800,178300,176400,177900,179200,182100,183800
38,20,Idaho,39,245800,249200,249900,251900,254100,258400,260200,261300,263600,265700,268500,271600
39,18,Hawaii,40,560600,557000,554000,558700,568800,566700,575300,569400,571400,573900,577900,591100
40,28,Maine,41,217000,221700,222400,226400,224000,225200,225600,226600,229400,228900,230600,228100
41,39,New Hampshire,42,262000,259800,262200,262000,265400,266800,266900,269500,270200,273600,275400,280000
42,50,Rhode Island,43,248600,249200,250900,256800,259500,257200,254600,253900,263000,264500,270800,269200
43,35,Montana,44,281700,282900,281700,280600,283200,288600,292700,293100,294500,295900,298700,300800
44,13,Delaware,45,231000,231400,229500,227500,223900,225500,228100,233400,234400,238000,239200,242300
45,52,South Dakota,46,200800,201800,206800,206500,204400,202100,203400,205700,205500,206300,208200,214500
46,37,North Dakota,47,211200,214200,215400,214800,215900,217200,223000,225200,227000,224800,221600,220600
47,12,District of Columbia,48,538800,542100,549200,554300,547500,540000,532600,530600,542600,548000,566400,577600
48,62,Wyoming,49,222100,223900,226500,226400,229100,231500,235300,235000,238300,236800,240700,241200
