,RegionName,SizeRank,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,California,1,2750,2750,2750,2800,2800,2800,2800,2850,2800,2800,2800,2800
1,Texas,2,1500,1500,1550,1575,1595,1595,1600,1595,1590,1550,1550,1550
2,New York,3,3127.5,3200,3200,3495,3299,3295,3200,3395,3250,2950,3000,3200
3,Florida,4,1800,1800,1850,1850,1850,1845,1800,1800,1800,1800,1795,1790
4,Illinois,5,1550,1550,1600,1600,1600,1642.5,1647,1650,1625,1600,1595,1590
5,Pennsylvania,6,1300,1330,1395,1400,1400,1400,1400,1400,1375,1350,1355,1350
6,Ohio,7,1025,1065,1100,1100,1100,1100,1100,1100,1100,1100,1095,1095
7,Michigan,8,1100,1100,1150,1200,1200,1200,1200,1200,1200,1200,1200,1150
8,Georgia,9,1375,1395,1400,1435,1455,1480,1475,1450,1450,1445,1445,1445
9,North Carolina,10,1325,1350,1350,1400,1400,1400,1400,1400,1399,1395,1395,1395
10,New Jersey,11,1950,1980,1995,2000,2100,2100,2000,2000,2000,2000,1975,1975
11,Virginia,12,1650,1650,1695,1700,1770,1800,1795,1750,1745,1700,1695,1660
12,Washington,13,1975,1950,1995,2000,2100,2100,2145,2100,2000,1995,1995,1995
13,Massachusetts,14,2550,2600,2695,2700,2700,2700,2695,2595,2500,2500,2500,2500
14,Indiana,15,1000,1025,1085,1100,1100,1100,1100,1145,1110,1100,1095,1050
15,Arizona,16,1450,1470,1500,1500,1545,1550,1550,1550,1545,1495,1499,1495
16,Tennessee,17,1295,1300,1300,1350,1395,1395,1400,1395,1375,1350,1350,1375
17,Missouri,18,982.5,995,1000,1000,1000,1050,1050,1050,1050,1045,1025,1042.5
18,Maryland,19,1700,1700,1700,1700,1750,1775,1775,1750,1750,1700,1712.5,1700
19,Wisconsin,20,1195,1200,1200,1250,1250,1215,1200,1200,1200,1200,1200,1200
20,Minnesota,21,1595,1600,1599,1600,1600,1600,1600,1600,1600,1600,1600,1600
21,Colorado,22,1900,1925,1950,1975,1995,1995,1975,1995,2000,2000,1995,2000
22,Alabama,23,1000,1000,1050,1095,1095,1095,1065,1050,1045,1050,1050,1050
23,South Carolina,24,1325,1350,1350,1375,1400,1400,1400,1395,1350,1342.5,1350,1350
24,Louisiana,25,1200,1200,1250,1295,1275,1250,1250,1200,1200,1200,1200,1200
25,Kentucky,26,1050,1099,1125,1150,1195,1175,1150,1125,1150,1145,1145,1100
26,Oregon,27,1700,1700,1700,1750,1795,1800,1850,1850,1895,1850,1850,1800
27,Oklahoma,28,1000,1000,1025,1095,1095,1050,1095,1050,1050,1000,1000,1000
28,Connecticut,29,1725,1750,1800,1800,1850,1850,1850,1800,1800,1800,1800,1800
29,Iowa,30,1050,1050,1075,1100,1100,1100,1100,1100,1095,1100,1100,1075
30,Mississippi,31,1150,1179,1200,1200,1195,1160,1150,1150,1122.5,1167.5,1175,1150
31,Arkansas,32,1050,1095,1100,1100,1100,1100,1100,1100,1050,1050,1075,1050
32,Kansas,33,1095,1095,1099,1100,1100,1100,1092.5,1050,1000,1000,1047.5,1025
33,Utah,34,1495,1495,1500,1500,1525,1500,1550,1591,1575,1525,1525,1500
34,Nevada,35,1500,1500,1525,1550,1550,1562,1580,1565,1550,1550,1550,1540
35,New Mexico,36,1200,1200,1207.5,1250,1250,1250,1250,1250,1250,1250,1250,1250
36,West Virginia,37,950,990,990,1000,1050,1000,1000,1000,975,990,1000,975
37,Nebraska,38,1200,1200,1295,1300,1295,1295,1295,1250,1200,1200,1200,1195
38,Idaho,39,1350,1350,1350,1350,1395,1400,1400,1450,1425,1400,1399,1400
39,Hawaii,40,2300,2300,2300,2350,2400,2400,2400,2375,2400,2350,2350,2300
40,Maine,41,1690,1700,1750,1750,1800,1800,1800,1800,1700,1700,1750,1750
41,New Hampshire,42,1700,1700,1700,1750,1800,1800,1825,1800,1795,1750,1700,1700
42,Rhode Island,43,2000,2000,2100,2100,2100,2100,2000,2000,2000,2000,2000,2000
43,Montana,44,1250,1295,1295,1300,1300,1350,1350,1400,1350,1350,1300,1295
44,Delaware,45,1370,1395,1350,1390,1412.5,1450,1445,1425,1450,1450,1400,1400
45,South Dakota,46,1100,1100,1100,1100,1135,1150,1150,1150,1125,1137.5,1150,1175
46,Alaska,47,1600,1600,1650,1695,1682.5,1650,1675,1695,1650,1650,1650,1600
47,North Dakota,48,1300,1297.5,1300,1350,1300,1295,1250,1300,1300,1295,1295,1250
48,District of Columbia,49,2600,2605,2600,2650,2700,2750,2730,2700,2700,2700,2700,2730
49,Wyoming,50,1100,1095,1100,1100,1125,1185,1150,1250,1200,1150,1195,1150
50,Puerto Rico,51,1400,1400,1400,1500,1600,1800,1625,1650,1650,1800,1650,1700
